latitude,longitude,energy,wavelength
-70.0,240.0,-15.307336727735237,1050.0
-70.0,250.0,5.31908220081247,1050.0
-70.0,260.0,-56.08285494108265,1050.0
-70.0,270.0,14.076384238592976,1050.0
-70.0,280.0,-23.612150465941305,1050.0
-70.0,290.0,0.8498264970550942,1050.0
-70.0,300.0,-29.828826772733898,1050.0
-70.0,310.0,-59.56643362325053,1050.0
-70.0,320.0,1.1742956952651817,1050.0
-70.0,330.0,-21.944768764459432,1050.0
-70.0,340.0,48.269189815114395,1050.0
-70.0,350.0,32.92021776341927,1050.0
-60.0,0.0,0.9710641432107643,1050.0
-60.0,10.0,-22.890785818925828,1050.0
-60.0,20.0,29.915219487099467,1050.0
-60.0,30.0,22.61689482595109,1050.0
-60.0,40.0,17.74481332853174,1050.0
-60.0,50.0,1.1720375825022238,1050.0
-60.0,60.0,8.420223490154306,1050.0
-60.0,70.0,-21.099139893973287,1050.0
-60.0,80.0,23.59369822856589,1050.0
-60.0,90.0,11.703120014506565,1050.0
-60.0,100.0,-5.474064610280684,1050.0
-60.0,110.0,-1.582494462030442,1050.0
-60.0,120.0,7.8743776104645375,1050.0
-60.0,130.0,-41.52034271854224,1050.0
-60.0,140.0,24.206932343581805,1050.0
-60.0,150.0,19.680631868091684,1050.0
-60.0,160.0,36.389814816951414,1050.0
-60.0,170.0,16.78522466881763,1050.0
-60.0,180.0,19.277726007838034,1050.0
-60.0,190.0,-5.91239048186852,1050.0
-60.0,200.0,-11.092074473463011,1050.0
-60.0,210.0,-10.512285133961864,1050.0
-60.0,220.0,21.193647011406174,1050.0
-60.0,230.0,12.744486953068488,1050.0
-60.0,240.0,6.040666624275898,1050.0
-60.0,250.0,64.14952062903707,1050.0
-60.0,260.0,-39.72365784602157,1050.0
-60.0,270.0,-91.15580265105906,1050.0
-60.0,280.0,0.6379250806133906,1050.0
-60.0,290.0,37.12212781122176,1050.0
-60.0,300.0,-43.03769513651925,1050.0
-60.0,310.0,-50.59934325173408,1050.0
-60.0,320.0,-15.229955839713368,1050.0
-60.0,330.0,-35.429142882876135,1050.0
-60.0,340.0,-4.8775492642964515,1050.0
-60.0,350.0,-77.33006972423468,1050.0
-50.0,0.0,-0.15320713041197997,1050.0
-50.0,10.0,-18.799838582770114,1050.0
-50.0,20.0,-12.414991258488357,1050.0
-50.0,30.0,-7.180983534513128,1050.0
-50.0,40.0,-3.300876228180842,1050.0
-50.0,50.0,32.283370213922474,1050.0
-50.0,60.0,-34.8904408119958,1050.0
-50.0,70.0,16.56530457979334,1050.0
-50.0,80.0,8.382599664089362,1050.0
-50.0,90.0,1.4021543950390143,1050.0
-50.0,100.0,9.943988217088874,1050.0
-50.0,110.0,12.741091570889193,1050.0
-50.0,120.0,-3.7115327366606636,1050.0
-50.0,130.0,-19.36257314677769,1050.0
-50.0,140.0,16.32890986882651,1050.0
-50.0,150.0,-14.995636303490189,1050.0
-50.0,160.0,9.868253619934547,1050.0
-50.0,170.0,9.71640768580214,1050.0
-50.0,180.0,11.329354440595873,1050.0
-50.0,190.0,-7.365254376012928,1050.0
-50.0,200.0,30.139943184040998,1050.0
-50.0,210.0,-11.301777123131046,1050.0
-50.0,220.0,-16.817976834356855,1050.0
-50.0,230.0,-52.38380317686005,1050.0
-50.0,240.0,-52.73427481925194,1050.0
-50.0,250.0,-13.356113654849082,1050.0
-50.0,260.0,19.470855558950465,1050.0
-50.0,270.0,23.129726964179554,1050.0
-50.0,280.0,2.3312252994458493,1050.0
-50.0,290.0,-3.148488821562456,1050.0
-50.0,300.0,15.416421358502117,1050.0
-50.0,310.0,16.889739787850626,1050.0
-50.0,320.0,-9.274179258308282,1050.0
-50.0,330.0,-26.073851628287855,1050.0
-50.0,340.0,53.089925485927246,1050.0
-50.0,350.0,4.705376853495657,1050.0
-40.0,0.0,-32.08218467581368,1050.0
-40.0,10.0,-17.357465846673918,1050.0
-40.0,20.0,9.78401201194135,1050.0
-40.0,30.0,-6.572811887132923,1050.0
-40.0,40.0,-20.795046527287848,1050.0
-40.0,50.0,5.81140137661739,1050.0
-40.0,60.0,-4.496998194121231,1050.0
-40.0,70.0,-15.061774103171972,1050.0
-40.0,80.0,5.528054772907091,1050.0
-40.0,90.0,-77.95269474532226,1050.0
-40.0,100.0,-22.279713557772972,1050.0
-40.0,110.0,-27.775809577638316,1050.0
-40.0,120.0,-1.886202319605756,1050.0
-40.0,130.0,6.273850793135176,1050.0
-40.0,140.0,4.946389450168416,1050.0
-40.0,150.0,-1.5703372045849058,1050.0
-40.0,160.0,18.248192624037316,1050.0
-40.0,170.0,21.983490628530927,1050.0
-40.0,180.0,-29.707314375514585,1050.0
-40.0,190.0,9.833302292093414,1050.0
-40.0,200.0,-21.04625949001151,1050.0
-40.0,210.0,-47.54651281889214,1050.0
-40.0,220.0,-39.931327650016335,1050.0
-40.0,230.0,1.3876100098671618,1050.0
-40.0,240.0,-10.057425076832269,1050.0
-40.0,250.0,-58.26557271642684,1050.0
-40.0,260.0,-58.26062978857759,1050.0
-40.0,270.0,12.559080298599362,1050.0
-40.0,280.0,-21.82441259269482,1050.0
-40.0,290.0,-55.940146970193844,1050.0
-40.0,300.0,5.184886691086479,1050.0
-40.0,310.0,-25.449935753530763,1050.0
-40.0,320.0,-30.560765191649644,1050.0
-40.0,330.0,-44.24592322244693,1050.0
-40.0,340.0,-21.47714536839469,1050.0
-40.0,350.0,36.059303333941415,1050.0
-30.0,0.0,55.05831926260602,1050.0
-30.0,10.0,-66.04433564079085,1050.0
-30.0,20.0,23.408929656508334,1050.0
-30.0,30.0,19.991266994757293,1050.0
-30.0,40.0,73.40649042113665,1050.0
-30.0,50.0,46.70768724608094,1050.0
-30.0,60.0,-10.731500990684584,1050.0
-30.0,70.0,-6.302116819971122,1050.0
-30.0,80.0,-14.894156934629486,1050.0
-30.0,90.0,-35.41157610601133,1050.0
-30.0,100.0,17.396018610184683,1050.0
-30.0,110.0,-7.138417734093286,1050.0
-30.0,120.0,24.717246381877032,1050.0
-30.0,130.0,-12.262467693867482,1050.0
-30.0,140.0,7.758554394053297,1050.0
-30.0,150.0,20.247833550502794,1050.0
-30.0,160.0,-48.742156694556,1050.0
-30.0,170.0,4.36106062307887,1050.0
-30.0,180.0,-39.1158236844571,1050.0
-30.0,190.0,-50.35880948289164,1050.0
-30.0,200.0,-17.205160838845686,1050.0
-30.0,210.0,-18.854771416119103,1050.0
-30.0,220.0,-17.041190303892378,1050.0
-30.0,230.0,-2.0538057619128804,1050.0
-30.0,240.0,-13.87449830127269,1050.0
-30.0,250.0,18.71228873028157,1050.0
-30.0,260.0,-34.12998288964779,1050.0
-30.0,270.0,-23.236969161348924,1050.0
-30.0,280.0,51.52106050585736,1050.0
-30.0,290.0,71.31769662116209,1050.0
-30.0,300.0,32.758331977428284,1050.0
-30.0,310.0,26.019909584260926,1050.0
-30.0,320.0,10.901929892960156,1050.0
-30.0,330.0,16.181908143765916,1050.0
-30.0,340.0,-10.468261777897222,1050.0
-30.0,350.0,-9.394659853152511,1050.0
-20.0,0.0,-14.739530648145504,1050.0
